"File","Total_PSMs","Matrisome_PSMs","Percent_Matrisome"
"C1.tsv",683,353,51.68
"C1F.tsv",310,242,78.06
"C2.tsv",764,354,46.34
"C2F.tsv",393,293,74.55
"C3.tsv",291,173,59.45
"C3F.tsv",196,88,44.9
"HEK1.tsv",7563,8,0.11
"HEK2.tsv",7701,29,0.38
"L1.tsv",2075,1589,76.58
"L1F.tsv",1512,1398,92.46
"L2.tsv",1584,1360,85.86
"L2F.tsv",1176,1127,95.83
"L3.tsv",1565,1330,84.98
"L3F.tsv",1067,1027,96.25
"N4.tsv",2670,1820,68.16
"N5.tsv",2467,1644,66.64
"N6.tsv",2732,1779,65.12
"RT.tsv",4588,445,9.7
"RTF.tsv",22,16,72.73
"S1.tsv",1399,1213,86.7
"S1F.tsv",1405,1298,92.38
"S2.tsv",1405,1285,91.46
"S2F.tsv",1330,1281,96.32
"S3.tsv",1359,1177,86.61
"S3F.tsv",1161,1141,98.28
