Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O93510|GELS_CHICK	O93510	GELS_CHICK	GSN	778	FALSE	FALSE	Gallus gallus	Gelsolin	2:Experimental evidence at transcript level	2.19	1	0.999	0	1	0	1	1	0	1	1025101.56	0	1025101.56	NA	NA	tr|A0A8V1A570|A0A8V1A570_CHICK, tr|A0A8V1AA30|A0A8V1AA30_CHICK, tr|A0A8V1ACT8|A0A8V1ACT8_CHICK, tr|A0A8V1ACU4|A0A8V1ACU4_CHICK, tr|A0A8V1AHE5|A0A8V1AHE5_CHICK
sp|P00337|LDHB_CHICK	P00337	LDHB_CHICK	LDHB	333	FALSE	FALSE	Gallus gallus	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	9.91	1	0.999	0	3	3	3	3	3	3	2337646.8	2337646.8	2337646.8	6C(57.0215)	NA	NA
sp|P00565|KCRM_CHICK	P00565	KCRM_CHICK	CKM	381	FALSE	FALSE	Gallus gallus	Creatine kinase M-type	1:Experimental evidence at protein level	2.62	1	0.999	0	1	1	1	1	1	1	322282.97	322282.97	322282.97	8C(57.0215),8C(57.0215)	NA	NA
sp|P02263|H2A4_CHICK	P02263	H2A4_CHICK	NA	129	FALSE	FALSE	Gallus gallus	Histone H2A-IV	1:Experimental evidence at protein level	6.98	1	0.999	0	1	0	1	1	0	1	4303112.5	0	4303112.5	NA	NA	sp|P35062|H2A3_CHICK, sp|P70082|H2AJ_CHICK, tr|A0A8V0Y8M9|A0A8V0Y8M9_CHICK, tr|A0A8V0YEW2|A0A8V0YEW2_CHICK, tr|A0A8V0YH12|A0A8V0YH12_CHICK, tr|A0A8V0YH91|A0A8V0YH91_CHICK, tr|A0A8V0YLZ9|A0A8V0YLZ9_CHICK
sp|P02272|H2AV_CHICK	P02272	H2AV_CHICK	H2AZ2	128	FALSE	FALSE	Gallus gallus	Histone H2A.V	1:Experimental evidence at protein level	7.03	1	0.9989	0	1	0	0	1	0	0	4303112.5	0	0	NA	NA	sp|Q5ZMD6|H2AZ_CHICK, tr|A0A8V0XGQ4|A0A8V0XGQ4_CHICK, tr|A0A8V0Z9F2|A0A8V0Z9F2_CHICK
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	21.27	1	0.999	0	20	0	19	29	0	28	445732064	0	445732064	10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),11P(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),9P(15.9949),12P(15.9949),9P(15.9949),14P(15.9949),6M(15.9949),9P(15.9949),14P(15.9949),6M(15.9949),9P(15.9949),16P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),8P(15.9949),3P(15.9949),9P(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),6M(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9P(15.9949),9K(15.9949),9K(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	1.63	1	0.999	0	1	0	1	1	0	1	1543343.9	0	1543343.9	3P(15.9949),6P(15.9949)	NA	NA
sp|P02789|TRFE_CHICK	P02789	TRFE_CHICK	NA	705	FALSE	FALSE	Gallus gallus	Ovotransferrin	1:Experimental evidence at protein level	15.74	1	0.999	0	8	0	8	9	0	9	4241610	0	4241610	11C(57.0215),11C(57.0215),4M(15.9949),11C(57.0215),4M(15.9949),14C(57.0215),4C(57.0215),2C(57.0215)	NA	NA
sp|P04268|TPM1_CHICK	P04268	TPM1_CHICK	TPM1	284	FALSE	FALSE	Gallus gallus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	7.39	1	0.9986	0	2	0	0	3	0	0	3139011.2	0	0	NA	NA	NA
sp|P07583|LEG4_CHICK	P07583	LEG4_CHICK	CG-1B	135	FALSE	FALSE	Gallus gallus	Beta-galactoside-binding lectin	1:Experimental evidence at protein level	12.59	1	0.999	0	1	1	1	1	1	1	428516.16	428516.16	428516.16	N-term(42.0106),2C(57.0215),7C(57.0215),N-term(42.0106),2C(57.0215),7C(57.0215)	NA	NA
sp|P08250|APOA1_CHICK	P08250	APOA1_CHICK	APOA1	264	FALSE	FALSE	Gallus gallus	Apolipoprotein A-I	1:Experimental evidence at protein level	3.79	1	0.9989	0	1	0	1	1	0	1	230396.06	0	230396.06	NA	NA	NA
sp|P08940|MIM1_CHICK	P08940	MIM1_CHICK	MIM1	326	FALSE	FALSE	Gallus gallus	Myeloid protein 1	1:Experimental evidence at protein level	22.39	1	0.9972	0	6	0	6	7	0	7	8913190	0	8913190	14C(57.0215),3C(57.0215),3C(57.0215),6C(57.0215),6C(57.0215)	NA	tr|F1NEF7|F1NEF7_CHICK
sp|P0C1H3|H2B1_CHICK	P0C1H3	H2B1_CHICK	H2B-I	126	FALSE	FALSE	Gallus gallus	Histone H2B 1/2/3/4/6	1:Experimental evidence at protein level	7.14	1	0.999	0	1	0	1	1	0	1	3140115.5	0	3140115.5	NA	NA	sp|P0C1H4|H2B5_CHICK, sp|Q9PSW9|H2B8_CHICK, tr|A0A3Q2UDI2|A0A3Q2UDI2_CHICK, tr|A0A8V0XUE3|A0A8V0XUE3_CHICK, tr|A0A8V0XYS9|A0A8V0XYS9_CHICK, tr|A0A8V0Y0N0|A0A8V0Y0N0_CHICK, tr|A0A8V0YNS6|A0A8V0YNS6_CHICK, tr|A0A8V0YVN2|A0A8V0YVN2_CHICK
sp|P0C1H5|H2B7_CHICK	P0C1H5	H2B7_CHICK	H2B-VII	126	FALSE	FALSE	Gallus gallus	Histone H2B 7	1:Experimental evidence at protein level	7.14	1	0.9984	0	1	0	0	1	0	0	3140115.5	0	0	NA	NA	NA
sp|P12003|VINC_CHICK	P12003	VINC_CHICK	VCL	1135	FALSE	FALSE	Gallus gallus	Vinculin	1:Experimental evidence at protein level	0.88	1	0.999	0	1	0	1	1	0	1	572507.6	0	572507.6	NA	NA	NA
sp|P12902|HM14A_CHICK	P12902	HM14A_CHICK	NA	105	FALSE	FALSE	Gallus gallus	Non-histone chromosomal protein HMG-14A	3:Protein inferred from homology	15.24	1	0.998	0	1	0	1	1	0	1	561236.56	0	561236.56	NA	NA	tr|A0A8V0Z943|A0A8V0Z943_CHICK
sp|P13648|LMNA_CHICK	P13648	LMNA_CHICK	LMNA	657	FALSE	FALSE	Gallus gallus	Lamin-A	2:Experimental evidence at transcript level	4.87	1	0.999	0	3	1	3	3	1	3	1706392.8	769861.2	1706392.8	NA	NA	NA
sp|P14448|FIBA_CHICK	P14448	FIBA_CHICK	FGA	741	FALSE	FALSE	Gallus gallus	Fibrinogen alpha chain	1:Experimental evidence at protein level	3.78	1	0.9905	0.00161899622234	2	1	2	2	1	2	532545.25	0	532545.25	5C(57.0215)	NA	NA
sp|P15988|CO6A2_CHICK	P15988	CO6A2_CHICK	COL6A2	1022	FALSE	FALSE	Gallus gallus	Collagen alpha-2(VI) chain	2:Experimental evidence at transcript level	3.03	1	0.999	0	2	0	2	3	0	3	1074333.2	0	1074333.2	9P(15.9949)	NA	tr|A0A8V0YP01|A0A8V0YP01_CHICK, tr|A0A8V0YQN9|A0A8V0YQN9_CHICK
sp|P21760|EXFAB_CHICK	P21760	EXFAB_CHICK	EXFABP	178	FALSE	FALSE	Gallus gallus	Extracellular fatty acid-binding protein	1:Experimental evidence at protein level	27.53	1	0.9965	6.2853551226e-4	4	0	4	4	0	4	4458261	0	4458261	NA	NA	tr|A0A1D5NW85|A0A1D5NW85_CHICK
sp|P24479|S10AB_CHICK	P24479	S10AB_CHICK	S100A11	101	FALSE	FALSE	Gallus gallus	Protein S100-A11	1:Experimental evidence at protein level	11.88	1	0.9986	0	1	0	1	1	0	1	1876887.2	0	1876887.2	NA	NA	tr|A0A8V1ACT3|A0A8V1ACT3_CHICK
sp|P27731|TTHY_CHICK	P27731	TTHY_CHICK	TTR	150	FALSE	FALSE	Gallus gallus	Transthyretin	1:Experimental evidence at protein level	14.67	1	0.999	0	1	0	1	1	0	1	0	0	0	NA	NA	tr|A0A1I7Q422|A0A1I7Q422_CHICK
sp|P28318|M126_CHICK	P28318	M126_CHICK	NA	119	FALSE	FALSE	Gallus gallus	Protein MRP-126	2:Experimental evidence at transcript level	31.09	1	0.9916	0.00109829763866	3	1	3	3	1	3	2693209.5	1692773.5	2693209.5	2C(57.0215)	NA	NA
sp|P28675|PGS2_CHICK	P28675	PGS2_CHICK	DCN	357	FALSE	FALSE	Gallus gallus	Decorin	1:Experimental evidence at protein level	7.84	1	0.999	0	2	0	2	2	0	2	9645100	0	9645100	10C(57.0215),4C(57.0215),4C(57.0215)	NA	tr|A0A1L1RX77|A0A1L1RX77_CHICK
sp|P32429|RL7A_CHICK	P32429	RL7A_CHICK	RPL7A	266	FALSE	FALSE	Gallus gallus	Large ribosomal subunit protein eL8	1:Experimental evidence at protein level	3.38	1	0.999	0	1	0	1	1	0	1	983974	0	983974	NA	NA	tr|A0A8V1AFP6|A0A8V1AFP6_CHICK
sp|P51887|FMOD_CHICK	P51887	FMOD_CHICK	FMOD	380	FALSE	FALSE	Gallus gallus	Fibromodulin	2:Experimental evidence at transcript level	3.16	1	0.9989	0	1	0	1	1	0	1	892644.1	0	892644.1	10C(57.0215),3M(15.9949)	NA	tr|A0A1D5NTY7|A0A1D5NTY7_CHICK, tr|A0A8V1A6G5|A0A8V1A6G5_CHICK
sp|P60706|ACTB_CHICK	P60706	ACTB_CHICK	ACTB	375	FALSE	FALSE	Gallus gallus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	7.2	1	0.999	0	2	0	1	2	0	1	950143	0	0	NA	NA	NA
sp|P62149|CALM_CHICK	P62149	CALM_CHICK	CALM	149	FALSE	FALSE	Gallus gallus	Calmodulin	1:Experimental evidence at protein level	8.72	1	0.999	0	1	0	1	1	0	1	879579.94	0	879579.94	N-term(42.0106)	NA	tr|A0A8V0ZCJ0|A0A8V0ZCJ0_CHICK
sp|P62801|H4_CHICK	P62801	H4_CHICK	H4-I	103	FALSE	FALSE	Gallus gallus	Histone H4	1:Experimental evidence at protein level	21.36	1	0.999	0	2	0	2	3	0	3	3067507.5	0	3067507.5	NA	NA	sp|P70081|H48_CHICK
sp|P68034|ACTC_CHICK	P68034	ACTC_CHICK	ACTC1	377	FALSE	FALSE	Gallus gallus	Actin, alpha cardiac muscle 1	3:Protein inferred from homology	7.16	1	0.999	0	2	0	0	2	0	0	950143	0	0	NA	NA	tr|A0A8V0XLI0|A0A8V0XLI0_CHICK
sp|P80026|PRVM_CHICK	P80026	PRVM_CHICK	NA	109	FALSE	FALSE	Gallus gallus	Parvalbumin, muscle	1:Experimental evidence at protein level	33.03	1	0.9988	0	3	0	3	3	0	3	2320745.5	0	2320745.5	N-term(42.0106)	NA	tr|C1L370|C1L370_CHICK
sp|P84229|H32_CHICK	P84229	H32_CHICK	H3-I	136	FALSE	FALSE	Gallus gallus	Histone H3.2	1:Experimental evidence at protein level	6.62	1	0.999	0	1	0	1	1	0	1	554127.44	0	554127.44	NA	NA	NA
sp|Q2IAL6|CTHL3_CHICK	Q2IAL6	CTHL3_CHICK	CATHL3	151	FALSE	FALSE	Gallus gallus	Cathelicidin-3	1:Experimental evidence at protein level	7.95	1	0.999	0	1	0	1	1	0	1	477931.28	0	477931.28	2C(57.0215)	NA	sp|Q6QLQ5|CTHL1_CHICK, tr|A0A8V0ZZJ2|A0A8V0ZZJ2_CHICK, tr|A0A8V0ZZJ7|A0A8V0ZZJ7_CHICK
sp|Q5ZMQ2|ACTG_CHICK	Q5ZMQ2	ACTG_CHICK	ACTG1	375	FALSE	FALSE	Gallus gallus	Actin, cytoplasmic 2	1:Experimental evidence at protein level	7.2	1	0.999	0	2	0	1	2	0	1	950143	0	950143	NA	NA	NA
sp|Q8JG64|PDIA3_CHICK	Q8JG64	PDIA3_CHICK	PDIA3	505	FALSE	FALSE	Gallus gallus	Protein disulfide-isomerase A3	2:Experimental evidence at transcript level	8.91	1	0.999	0	4	0	4	4	0	4	1637915.9	0	1637915.9	NA	NA	NA
sp|Q90593|BIP_CHICK	Q90593	BIP_CHICK	HSPA5	652	FALSE	FALSE	Gallus gallus	Endoplasmic reticulum chaperone BiP	1:Experimental evidence at protein level	4.45	1	0.999	0	3	3	3	3	3	3	1816308.9	1816308.9	1816308.9	NA	NA	NA
sp|Q98953|S10A6_CHICK	Q98953	S10A6_CHICK	S100A6	92	FALSE	FALSE	Gallus gallus	Protein S100-A6	3:Protein inferred from homology	16.3	1	0.999	0	2	2	2	3	3	3	1411866.6	1411866.6	1411866.6	NA	NA	NA
sp|Q9I8P6|OTOR_CHICK	Q9I8P6	OTOR_CHICK	OTOR	132	FALSE	FALSE	Gallus gallus	Otoraplin	2:Experimental evidence at transcript level	8.33	1	0.999	0	1	1	1	1	1	1	0	0	0	10C(57.0215)	NA	NA
tr|A0A1D5NV17|A0A1D5NV17_CHICK	A0A1D5NV17	A0A1D5NV17_CHICK	ACTBL2	377	FALSE	FALSE	Gallus gallus	Actin beta like 2	1:Experimental evidence at protein level	7.16	1	0.9983	0	2	0	0	2	0	0	950143	0	0	NA	NA	NA
tr|A0A1D5P8I8|A0A1D5P8I8_CHICK	A0A1D5P8I8	A0A1D5P8I8_CHICK	COL12A1	3065	FALSE	FALSE	Gallus gallus	Collagen alpha-1(XII) chain	1:Experimental evidence at protein level	12.4	1	0.999	0	22	0	22	40	0	40	47596288	0	47596288	12M(15.9949),14M(15.9949),16M(15.9949),16M(15.9949),2M(15.9949),2M(15.9949),7M(15.9949),7M(15.9949),9P(15.9949)	NA	tr|A0A1L1RPW4|A0A1L1RPW4_CHICK, tr|F1NX22|F1NX22_CHICK
tr|A0A1D5PPP9|A0A1D5PPP9_CHICK	A0A1D5PPP9	A0A1D5PPP9_CHICK	PTMA	110	FALSE	FALSE	Gallus gallus	Prothymosin alpha	3:Protein inferred from homology	20.91	1	0.9937	0.00109829763866	2	0	2	2	0	2	3480163	0	3480163	NA	NA	tr|A0A8V0YZL9|A0A8V0YZL9_CHICK
tr|A0A1D5PUL6|A0A1D5PUL6_CHICK	A0A1D5PUL6	A0A1D5PUL6_CHICK	HSP90AA1	728	FALSE	FALSE	Gallus gallus	Heat shock protein 90 alpha family class A member 1	3:Protein inferred from homology	1.24	1	0.999	0	1	0	1	1	0	1	1951666.4	0	1951666.4	NA	NA	tr|A0A8V0YRK7|A0A8V0YRK7_CHICK
tr|A0A3Q2UFV6|A0A3Q2UFV6_CHICK	A0A3Q2UFV6	A0A3Q2UFV6_CHICK	COMP	761	FALSE	FALSE	Gallus gallus	Cartilage oligomeric matrix protein	1:Experimental evidence at protein level	4.99	1	0.999	0	3	0	3	3	0	3	4115545	0	4115545	11C(57.0215),14C(57.0215),2C(57.0215),8C(57.0215)	NA	NA
tr|A0A8V0X522|A0A8V0X522_CHICK	A0A8V0X522	A0A8V0X522_CHICK	LOC107050717	287	FALSE	FALSE	Gallus gallus	Calumenin	3:Protein inferred from homology	9.41	1	0.999	0	2	0	2	2	0	2	1525694.2	0	1525694.2	NA	NA	tr|A0A8V0X800|A0A8V0X800_CHICK, tr|A0A8V0XAN8|A0A8V0XAN8_CHICK
tr|A0A8V0X994|A0A8V0X994_CHICK	A0A8V0X994	A0A8V0X994_CHICK	COL1A2	1270	FALSE	FALSE	Gallus gallus	Collagen type I alpha 2 chain	4:Protein predicted	17.48	1	0.999	0	13	0	13	14	0	14	12519557	0	12519557	10P(15.9949),10P(15.9949),12P(15.9949),6P(15.9949),15P(15.9949),26K(15.9949),8P(15.9949),18P(15.9949),21P(15.9949),2P(15.9949),21P(15.9949),2P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),9P(15.9949),4P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
tr|A0A8V0X997|A0A8V0X997_CHICK	A0A8V0X997	A0A8V0X997_CHICK	NA	456	FALSE	FALSE	Gallus gallus	Hemopexin	1:Experimental evidence at protein level	28.73	1	0.999	0	9	9	9	11	11	11	15689838	15689838	15689838	17M(15.9949),18C(57.0215),18C(57.0215),1C(57.0215),3C(57.0215),6C(57.0215),7C(57.0215),7C(57.0215)	NA	NA
tr|A0A8V0XEJ0|A0A8V0XEJ0_CHICK	A0A8V0XEJ0	A0A8V0XEJ0_CHICK	NA	569	FALSE	FALSE	Gallus gallus	Ig-like domain-containing protein	4:Protein predicted	1.93	1	0.9989	0	1	0	1	1	0	1	520909.03	0	520909.03	9C(57.0215)	NA	NA
tr|A0A8V0XEL0|A0A8V0XEL0_CHICK	A0A8V0XEL0	A0A8V0XEL0_CHICK	PIT54	508	FALSE	FALSE	Gallus gallus	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	1:Experimental evidence at protein level	7.28	1	0.999	0	3	3	3	3	3	3	2392433.2	2392433.2	2392433.2	10C(57.0215),4C(57.0215),8C(57.0215)	NA	NA
tr|A0A8V0XHB9|A0A8V0XHB9_CHICK	A0A8V0XHB9	A0A8V0XHB9_CHICK	NA	565	FALSE	FALSE	Gallus gallus	Ig-like domain-containing protein	1:Experimental evidence at protein level	17.52	1	0.999	0	7	0	7	8	0	8	55765532	0	55765532	3C(57.0215),3C(57.0215),4C(57.0215),4C(57.0215),4C(57.0215)	NA	tr|A0A8V0XLK0|A0A8V0XLK0_CHICK
tr|A0A8V0XIX0|A0A8V0XIX0_CHICK	A0A8V0XIX0	A0A8V0XIX0_CHICK	COL1A2	1294	FALSE	FALSE	Gallus gallus	Collagen type I alpha 2 chain	4:Protein predicted	18.24	1	0.9888	0.00261096605744	13	0	0	15	0	0	12519557	0	0	NA	NA	NA
tr|A0A8V0XJ14|A0A8V0XJ14_CHICK	A0A8V0XJ14	A0A8V0XJ14_CHICK	ALB	615	FALSE	FALSE	Gallus gallus	Albumin	1:Experimental evidence at protein level	2.76	1	0.999	0	2	0	2	2	0	2	1020128.1	0	1020128.1	1C(57.0215),2C(57.0215),2C(57.0215)	NA	NA
tr|A0A8V0XK94|A0A8V0XK94_CHICK	A0A8V0XK94	A0A8V0XK94_CHICK	COL1A2	1237	FALSE	FALSE	Gallus gallus	Collagen type I alpha 2 chain	4:Protein predicted	16.65	1	0.999	0	12	0	1	14	0	2	12519557	0	2212328	20P(15.9949),3P(15.9949),20P(15.9949),3P(15.9949)	NA	NA
tr|A0A8V0XTG7|A0A8V0XTG7_CHICK	A0A8V0XTG7	A0A8V0XTG7_CHICK	PDIA4	642	FALSE	FALSE	Gallus gallus	Protein disulfide-isomerase A4	1:Experimental evidence at protein level	1.87	1	0.9983	0	1	0	1	1	0	1	293082.34	0	293082.34	NA	NA	tr|A0A8V0XZQ2|A0A8V0XZQ2_CHICK
tr|A0A8V0XUD0|A0A8V0XUD0_CHICK	A0A8V0XUD0	A0A8V0XUD0_CHICK	EEF1D	300	FALSE	FALSE	Gallus gallus	Elongation factor 1-delta	1:Experimental evidence at protein level	4.67	1	0.9979	0	1	0	1	1	0	1	212820.47	0	212820.47	NA	NA	tr|A0A8V0XYR6|A0A8V0XYR6_CHICK, tr|A0A8V0Y322|A0A8V0Y322_CHICK, tr|A0A8V0Y744|A0A8V0Y744_CHICK
tr|A0A8V0Y0F3|A0A8V0Y0F3_CHICK	A0A8V0Y0F3	A0A8V0Y0F3_CHICK	EMILIN1	788	FALSE	FALSE	Gallus gallus	Elastin microfibril interfacer 1	4:Protein predicted	3.3	1	0.9986	0	2	2	2	2	2	2	388545.56	388545.56	388545.56	3C(57.0215),6C(57.0215)	NA	NA
tr|A0A8V0Y726|A0A8V0Y726_CHICK	A0A8V0Y726	A0A8V0Y726_CHICK	TXNDC5	414	FALSE	FALSE	Gallus gallus	Thioredoxin domain-containing protein 5	1:Experimental evidence at protein level	2.42	1	0.999	0	1	1	1	1	1	1	376015.9	376015.9	376015.9	6C(57.0215)	NA	NA
tr|A0A8V0Y950|A0A8V0Y950_CHICK	A0A8V0Y950	A0A8V0Y950_CHICK	COL6A3	3009	FALSE	FALSE	Gallus gallus	Collagen type VI alpha 3 chain	1:Experimental evidence at protein level	9.74	1	0.999	0	21	0	21	21	0	21	8201499	0	8201499	10C(57.0215),2M(15.9949)	NA	tr|A0A8V0YHJ1|A0A8V0YHJ1_CHICK, tr|A0A8V0YMB7|A0A8V0YMB7_CHICK
tr|A0A8V0YB91|A0A8V0YB91_CHICK	A0A8V0YB91	A0A8V0YB91_CHICK	TPM2	284	FALSE	FALSE	Gallus gallus	Tropomyosin 2	1:Experimental evidence at protein level	7.04	1	0.9908	0.00161899622234	2	0	0	2	0	0	1325998.4	0	0	NA	NA	NA
