Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P02112|HBB_CHICK	P02112	HBB_CHICK	HBB	147	FALSE	FALSE	Gallus gallus	Hemoglobin subunit beta	1:Experimental evidence at protein level	8.84	1	0.999	0	1	0	1	1	0	1	0	0	0	6C(57.0215)	NA	NA
sp|P02263|H2A4_CHICK	P02263	H2A4_CHICK	NA	129	FALSE	FALSE	Gallus gallus	Histone H2A-IV	1:Experimental evidence at protein level	6.98	1	0.999	0	1	0	1	1	0	1	2005071.9	0	2005071.9	NA	NA	sp|P35062|H2A3_CHICK, sp|P70082|H2AJ_CHICK, tr|A0A8V0Y8M9|A0A8V0Y8M9_CHICK, tr|A0A8V0YEW2|A0A8V0YEW2_CHICK, tr|A0A8V0YH12|A0A8V0YH12_CHICK, tr|A0A8V0YH91|A0A8V0YH91_CHICK, tr|A0A8V0YLZ9|A0A8V0YLZ9_CHICK
sp|P02272|H2AV_CHICK	P02272	H2AV_CHICK	H2AZ2	128	FALSE	FALSE	Gallus gallus	Histone H2A.V	1:Experimental evidence at protein level	7.03	1	0.9989	0	1	0	0	1	0	0	2005071.9	0	0	NA	NA	sp|Q5ZMD6|H2AZ_CHICK, tr|A0A8V0XGQ4|A0A8V0XGQ4_CHICK, tr|A0A8V0Z9F2|A0A8V0Z9F2_CHICK
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	30.35	1	0.999	0	30	0	29	65	0	62	83550312	0	83550312	10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),8P(15.9949),12K(15.9949),6M(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),9P(15.9949),12P(15.9949),9P(15.9949),14K(15.9949),14K(15.9949),23P(15.9949),3P(15.9949),14K(15.9949),23P(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),14P(15.9949),24K(15.9949),5P(15.9949),14P(15.9949),24K(15.9949),5P(15.9949),14P(15.9949),6M(15.9949),9P(15.9949),14P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),16P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),5P(15.9949),23P(15.9949),8P(15.9949),2P(15.9949),3P(15.9949),6M(15.9949),2P(15.9949),3P(15.9949),6M(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),6M(15.9949),6M(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9P(15.9949),8K(15.9949),8P(15.9949),8P(15.9949),9P(15.9949),8P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	1.63	1	0.999	0	1	0	1	3	0	3	7673780	0	7673780	14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949)	NA	NA
sp|P02789|TRFE_CHICK	P02789	TRFE_CHICK	NA	705	FALSE	FALSE	Gallus gallus	Ovotransferrin	1:Experimental evidence at protein level	7.66	1	0.999	0	5	0	5	5	0	5	2111458.5	0	2111458.5	11C(57.0215),2C(57.0215),6C(57.0215)	NA	NA
sp|P04268|TPM1_CHICK	P04268	TPM1_CHICK	TPM1	284	FALSE	FALSE	Gallus gallus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	7.39	1	0.9986	0	2	0	0	3	0	0	1522573.4	0	0	NA	NA	NA
sp|P07583|LEG4_CHICK	P07583	LEG4_CHICK	CG-1B	135	FALSE	FALSE	Gallus gallus	Beta-galactoside-binding lectin	1:Experimental evidence at protein level	23.7	1	0.999	0	2	1	2	3	2	3	1578871.8	786038.8	1578871.8	12C(57.0215),12C(57.0215),N-term(42.0106),2C(57.0215),7C(57.0215),N-term(42.0106),2C(57.0215),7C(57.0215)	NA	NA
sp|P08940|MIM1_CHICK	P08940	MIM1_CHICK	MIM1	326	FALSE	FALSE	Gallus gallus	Myeloid protein 1	1:Experimental evidence at protein level	22.39	1	0.9972	0	6	0	6	7	0	7	5374273.5	0	5374273.5	14C(57.0215),3C(57.0215),3C(57.0215),6C(57.0215),6C(57.0215)	NA	tr|F1NEF7|F1NEF7_CHICK
sp|P09654|VIME_CHICK	P09654	VIME_CHICK	VIM	460	FALSE	FALSE	Gallus gallus	Vimentin	3:Protein inferred from homology	18.7	1	0.9967	6.2853551226e-4	7	0	0	9	0	0	4487099	0	0	NA	NA	NA
sp|P0C1H3|H2B1_CHICK	P0C1H3	H2B1_CHICK	H2B-I	126	FALSE	FALSE	Gallus gallus	Histone H2B 1/2/3/4/6	1:Experimental evidence at protein level	7.14	1	0.999	0	1	0	1	1	0	1	2013504.5	0	2013504.5	NA	NA	sp|P0C1H4|H2B5_CHICK, sp|Q9PSW9|H2B8_CHICK, tr|A0A3Q2UDI2|A0A3Q2UDI2_CHICK, tr|A0A8V0XUE3|A0A8V0XUE3_CHICK, tr|A0A8V0XYS9|A0A8V0XYS9_CHICK, tr|A0A8V0Y0N0|A0A8V0Y0N0_CHICK, tr|A0A8V0YNS6|A0A8V0YNS6_CHICK, tr|A0A8V0YVN2|A0A8V0YVN2_CHICK
sp|P0C1H5|H2B7_CHICK	P0C1H5	H2B7_CHICK	H2B-VII	126	FALSE	FALSE	Gallus gallus	Histone H2B 7	1:Experimental evidence at protein level	7.14	1	0.9984	0	1	0	0	1	0	0	2013504.5	0	0	NA	NA	NA
sp|P0CB50|PRDX1_CHICK	P0CB50	PRDX1_CHICK	PRDX1	199	FALSE	FALSE	Gallus gallus	Peroxiredoxin-1	1:Experimental evidence at protein level	5.53	1	0.999	0	1	0	1	1	0	1	0	0	0	NA	NA	NA
sp|P12003|VINC_CHICK	P12003	VINC_CHICK	VCL	1135	FALSE	FALSE	Gallus gallus	Vinculin	1:Experimental evidence at protein level	0.88	1	0.999	0	1	0	1	1	0	1	288714.22	0	288714.22	NA	NA	NA
sp|P13648|LMNA_CHICK	P13648	LMNA_CHICK	LMNA	657	FALSE	FALSE	Gallus gallus	Lamin-A	2:Experimental evidence at transcript level	9.74	1	0.999	0	7	4	7	8	5	8	3297011	2985577	3297011	NA	NA	NA
sp|P14448|FIBA_CHICK	P14448	FIBA_CHICK	FGA	741	FALSE	FALSE	Gallus gallus	Fibrinogen alpha chain	1:Experimental evidence at protein level	3.78	1	0.9905	0.00161899622234	2	1	2	3	2	3	2511620	1115057.8	2511620	1M(15.9949),5C(57.0215)	NA	NA
sp|P15988|CO6A2_CHICK	P15988	CO6A2_CHICK	COL6A2	1022	FALSE	FALSE	Gallus gallus	Collagen alpha-2(VI) chain	2:Experimental evidence at transcript level	8.81	1	0.999	0	7	0	7	8	0	8	4583369	0	4583369	3P(15.9949),9P(15.9949)	NA	tr|A0A8V0YP01|A0A8V0YP01_CHICK, tr|A0A8V0YQN9|A0A8V0YQN9_CHICK
sp|P17785|ANXA2_CHICK	P17785	ANXA2_CHICK	ANXA2	339	FALSE	FALSE	Gallus gallus	Annexin A2	1:Experimental evidence at protein level	4.13	1	0.999	0	1	0	1	1	0	1	0	0	0	NA	NA	tr|A0A8V0ZZB2|A0A8V0ZZB2_CHICK
sp|P20785|CO6A1_CHICK	P20785	CO6A1_CHICK	COL6A1	1019	FALSE	FALSE	Gallus gallus	Collagen alpha-1(VI) chain	2:Experimental evidence at transcript level	3.93	1	0.9936	0.00109829763866	3	0	1	3	0	1	2010202.6	0	0	6P(15.9949),9P(15.9949)	NA	NA
sp|P21760|EXFAB_CHICK	P21760	EXFAB_CHICK	EXFABP	178	FALSE	FALSE	Gallus gallus	Extracellular fatty acid-binding protein	1:Experimental evidence at protein level	16.85	1	0.9965	6.2853551226e-4	3	0	3	3	0	3	2380678	0	2380678	NA	NA	tr|A0A1D5NW85|A0A1D5NW85_CHICK
sp|P24479|S10AB_CHICK	P24479	S10AB_CHICK	S100A11	101	FALSE	FALSE	Gallus gallus	Protein S100-A11	1:Experimental evidence at protein level	11.88	1	0.9986	0	1	0	1	1	0	1	0	0	0	NA	NA	tr|A0A8V1ACT3|A0A8V1ACT3_CHICK
sp|P28675|PGS2_CHICK	P28675	PGS2_CHICK	DCN	357	FALSE	FALSE	Gallus gallus	Decorin	1:Experimental evidence at protein level	21.57	1	0.999	0	6	0	6	8	0	8	23545464	0	23545464	10C(57.0215),4C(57.0215),4C(57.0215)	NA	tr|A0A1L1RX77|A0A1L1RX77_CHICK
sp|P51887|FMOD_CHICK	P51887	FMOD_CHICK	FMOD	380	FALSE	FALSE	Gallus gallus	Fibromodulin	2:Experimental evidence at transcript level	13.42	1	0.9989	0	5	0	5	6	0	6	24307096	0	24307096	10C(57.0215),10C(57.0215),10C(57.0215),3M(15.9949)	NA	tr|A0A1D5NTY7|A0A1D5NTY7_CHICK, tr|A0A8V1A6G5|A0A8V1A6G5_CHICK
sp|P60706|ACTB_CHICK	P60706	ACTB_CHICK	ACTB	375	FALSE	FALSE	Gallus gallus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	36.8	1	0.999	0	10	0	1	10	0	1	5801247.5	0	0	NA	NA	NA
sp|P62801|H4_CHICK	P62801	H4_CHICK	H4-I	103	FALSE	FALSE	Gallus gallus	Histone H4	1:Experimental evidence at protein level	29.13	1	0.999	0	3	0	3	3	0	3	2998794.2	0	2998794.2	NA	NA	sp|P70081|H48_CHICK
sp|P68034|ACTC_CHICK	P68034	ACTC_CHICK	ACTC1	377	FALSE	FALSE	Gallus gallus	Actin, alpha cardiac muscle 1	3:Protein inferred from homology	17.51	1	0.999	0	6	0	0	6	0	0	4834337	0	0	NA	NA	tr|A0A8V0XLI0|A0A8V0XLI0_CHICK
