Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	64.49	1	0.999	0	91	8	89	492	19	480	19778451500	10256896	19778451500	10M(15.9949),10M(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),11K(15.9949),20P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),2P(15.9949),11M(15.9949),12K(15.9949),3P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),18P(15.9949),11P(15.9949),18P(15.9949),11P(15.9949),21P(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),5P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),12C(57.0215),12C(57.0215),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),14P(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),18P(15.9949),20K(15.9949),12K(15.9949),21P(15.9949),9P(15.9949),12K(15.9949),21P(15.9949),9P(15.9949),12K(15.9949),29P(15.9949),38K(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),5P(15.9949),12K(15.9949),6M(15.9949),12K(15.9949),6M(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),13P(15.9949),12P(15.9949),13P(15.9949),12P(15.9949),14P(15.9949),12P(15.9949),14P(15.9949),12P(15.9949),15K(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),2P(15.9949),12P(15.9949),15K(15.9949),8P(15.9949),12P(15.9949),15M(15.9949),6P(15.9949),12P(15.9949),15M(15.9949),6P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),29K(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),17P(15.9949),12P(15.9949),17P(15.9949),24K(15.9949),12P(15.9949),18P(15.9949),12P(15.9949),18P(15.9949),20M(15.9949),12P(15.9949),18P(15.9949),24K(15.9949),12P(15.9949),18P(15.9949),29K(15.9949),12P(15.9949),20P(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),21P(15.9949),24K(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),24P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),9P(15.9949),12P(15.9949),2P(15.9949),12P(15.9949),2P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),6K(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),6K(15.9949),12P(15.9949),6K(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),9P(15.9949),12P(15.9949),9P(15.9949),13P(15.9949),7P(15.9949),13P(15.9949),7P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),6P(15.9949),14K(15.9949),24P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),6K(15.9949),14K(15.9949),6K(15.9949),14P(15.9949),14P(15.9949),15K(15.9949),2P(15.9949),14P(15.9949),15P(15.9949),24K(15.9949),14P(15.9949),20M(15.9949),6P(15.9949),14P(15.9949),20P(15.9949),30K(15.9949),14P(15.9949),27P(15.9949),36K(15.9949),14P(15.9949),27P(15.9949),36K(15.9949),14P(15.9949),2P(15.9949),14P(15.9949),2P(15.9949),14P(15.9949),2P(15.9949),6M(15.9949),14P(15.9949),2P(15.9949),6M(15.9949),14P(15.9949),3P(15.9949),14P(15.9949),5P(15.9949),15K(15.9949),15K(15.9949),15K(15.9949),24P(15.9949),15M(15.9949),3P(15.9949),6P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),16P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),2M(15.9949),15P(15.9949),18P(15.9949),8K(15.9949),15P(15.9949),21P(15.9949),15P(15.9949),21P(15.9949),24K(15.9949),15P(15.9949),21P(15.9949),9K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24P(15.9949),15P(15.9949),27P(15.9949),36K(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),6M(15.9949),15P(15.9949),5P(15.9949),6M(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6P(15.9949),9K(15.9949),15P(15.9949),6P(15.9949),9K(15.9949),15P(15.9949),9P(15.9949),16M(15.9949),18P(15.9949),24P(15.9949),16M(15.9949),19P(15.9949),25P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),9P(15.9949),16P(15.9949),9P(15.9949),17K(15.9949),9K(15.9949),17K(15.9949),9K(15.9949),17K(15.9949),9K(15.9949),17P(15.9949),24K(15.9949),9P(15.9949),18K(15.9949),23P(15.9949),8P(15.9949),18K(15.9949),23P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),33M(15.9949),18K(15.9949),24P(15.9949),5P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),30P(15.9949),32P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),20M(15.9949),18P(15.9949),20P(15.9949),18P(15.9949),23P(15.9949),18P(15.9949),24K(15.9949),18P(15.9949),24K(15.9949),5P(15.9949),18P(15.9949),24K(15.9949),5P(15.9949),18P(15.9949),24K(15.9949),5P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24P(15.9949),27K(15.9949),18P(15.9949),28P(15.9949),7K(15.9949),18P(15.9949),36P(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),19K(15.9949),19P(15.9949),28P(15.9949),7K(15.9949),19P(15.9949),33P(15.9949),36K(15.9949),19P(15.9949),36K(15.9949),6P(15.9949),19P(15.9949),36K(15.9949),7K(15.9949),20K(15.9949),3P(15.9949),5P(15.9949),20M(15.9949),6P(15.9949),9P(15.9949),20P(15.9949),30K(15.9949),20P(15.9949),30K(15.9949),20P(15.9949),8P(15.9949),20P(15.9949),9P(15.9949),20P(15.9949),9P(15.9949),21P(15.9949),24K(15.9949),21P(15.9949),24P(15.9949),30K(15.9949),21P(15.9949),24P(15.9949),30M(15.9949),21P(15.9949),26K(15.9949),9P(15.9949),21P(15.9949),27P(15.9949),30K(15.9949),21P(15.9949),30K(15.9949),6P(15.9949),21P(15.9949),30K(15.9949),9P(15.9949),21P(15.9949),30M(15.9949),6P(15.9949),21P(15.9949),39K(15.9949),9P(15.9949),21P(15.9949),3P(15.9949),9K(15.9949),23P(15.9949),24P(15.9949),23P(15.9949),3P(15.9949),23P(15.9949),3P(15.9949),24P(15.9949),24P(15.9949),6P(15.9949),24P(15.9949),6P(15.9949),24P(15.9949),8P(15.9949),24P(15.9949),9P(15.9949),24P(15.9949),9P(15.9949),25P(15.9949),25P(15.9949),28P(15.9949),7K(15.9949),26K(15.9949),26K(15.9949),26P(15.9949),26P(15.9949),3P(15.9949),27K(15.9949),3P(15.9949),6P(15.9949),27P(15.9949),30K(15.9949),3P(15.9949),2P(15.9949),2P(15.9949),3P(15.9949),2P(15.9949),3P(15.9949),6M(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),8P(15.9949),2P(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),30K(15.9949),6P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30P(15.9949),32P(15.9949),30P(15.9949),9K(15.9949),32P(15.9949),3P(15.9949),33P(15.9949),39P(15.9949),34P(15.9949),40P(15.9949),36P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),6M(15.9949),3P(15.9949),6M(15.9949),9P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),5P(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),6M(15.9949),8P(15.9949),6M(15.9949),6M(15.9949),8P(15.9949),9P(15.9949),6M(15.9949),9P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),7P(15.9949),7P(15.9949),8P(15.9949),8P(15.9949),9P(15.9949),9K(15.9949),9K(15.9949),9K(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	30.38	1	0.999	0	15	13	15	38	26	38	2900635900	67191928	2900635900	11P(15.9949),26P(15.9949),12P(15.9949),20P(15.9949),24K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),24K(15.9949),5P(15.9949),12P(15.9949),9P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14P(15.9949),24K(15.9949),3P(15.9949),14P(15.9949),24K(15.9949),8P(15.9949),14P(15.9949),9P(15.9949),15P(15.9949),20M(15.9949),8P(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),8P(15.9949),16K(15.9949),30P(15.9949),4P(15.9949),17K(15.9949),6P(15.9949),9P(15.9949),17P(15.9949),24K(15.9949),39P(15.9949),17P(15.9949),35P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18P(15.9949),24P(15.9949),20P(15.9949),27P(15.9949),32M(15.9949),24K(15.9949),5P(15.9949),6P(15.9949),39P(15.9949),39P(15.9949),5P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),8P(15.9949),8P(15.9949),9P(15.9949)	NA	NA
sp|P04268|TPM1_CHICK	P04268	TPM1_CHICK	TPM1	284	FALSE	FALSE	Gallus gallus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	3.87	1	0.9986	0	2	0	0	3	0	0	2196597.2	0	0	NA	NA	NA
sp|P08250|APOA1_CHICK	P08250	APOA1_CHICK	APOA1	264	FALSE	FALSE	Gallus gallus	Apolipoprotein A-I	1:Experimental evidence at protein level	3.79	1	0.9989	0	1	0	1	1	0	1	1183011.4	0	1183011.4	NA	NA	NA
sp|P09654|VIME_CHICK	P09654	VIME_CHICK	VIM	460	FALSE	FALSE	Gallus gallus	Vimentin	3:Protein inferred from homology	6.74	1	0.9967	6.2853551226e-4	3	0	0	3	0	0	2930290.2	0	0	NA	NA	NA
sp|P12105|CO3A1_CHICK	P12105	CO3A1_CHICK	COL3A1	1262	FALSE	FALSE	Gallus gallus	Collagen alpha-1(III) chain (Fragment)	2:Experimental evidence at transcript level	23.53	1	0.999	0	19	0	19	33	0	33	2861770500	0	2861770500	10P(15.9949),9P(15.9949),11K(15.9949),2P(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),15P(15.9949),24K(15.9949),12P(15.9949),17P(15.9949),14P(15.9949),18K(15.9949),9P(15.9949),15K(15.9949),3P(15.9949),6P(15.9949),15P(15.9949),7P(15.9949),18K(15.9949),27P(15.9949),9P(15.9949),18K(15.9949),5P(15.9949),9P(15.9949),18K(15.9949),8P(15.9949),9P(15.9949),18P(15.9949),27K(15.9949),5P(15.9949),20K(15.9949),3P(15.9949),9P(15.9949),2P(15.9949),5P(15.9949),2P(15.9949),5P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),8K(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),4P(15.9949),4P(15.9949),9P(15.9949),5P(15.9949),9P(15.9949),6P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P24479|S10AB_CHICK	P24479	S10AB_CHICK	S100A11	101	FALSE	FALSE	Gallus gallus	Protein S100-A11	1:Experimental evidence at protein level	11.88	1	0.9986	0	1	0	1	1	0	1	532854.4	0	532854.4	NA	NA	tr|A0A8V1ACT3|A0A8V1ACT3_CHICK
sp|P28675|PGS2_CHICK	P28675	PGS2_CHICK	DCN	357	FALSE	FALSE	Gallus gallus	Decorin	1:Experimental evidence at protein level	17.65	1	0.999	0	5	0	5	5	0	5	8144869	0	8144869	10C(57.0215),10C(57.0215),4C(57.0215)	NA	tr|A0A1L1RX77|A0A1L1RX77_CHICK
sp|P60706|ACTB_CHICK	P60706	ACTB_CHICK	ACTB	375	FALSE	FALSE	Gallus gallus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	7.47	1	0.999	0	2	0	1	2	0	1	1525736.4	0	232882.1	N-term(42.0106),15M(15.9949),16C(57.0215)	NA	NA
sp|P62149|CALM_CHICK	P62149	CALM_CHICK	CALM	149	FALSE	FALSE	Gallus gallus	Calmodulin	1:Experimental evidence at protein level	8.72	1	0.999	0	1	0	1	1	0	1	1261282.1	0	1261282.1	N-term(42.0106)	NA	tr|A0A8V0ZCJ0|A0A8V0ZCJ0_CHICK
