Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O73885|HSP7C_CHICK	O73885	HSP7C_CHICK	HSPA8	646	FALSE	FALSE	Gallus gallus	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	4.18	1	0.999	0	1	0	1	1	0	1	0	0	0	NA	NA	NA
sp|O93256|K1C19_CHICK	O93256	K1C19_CHICK	KRT19	423	FALSE	FALSE	Gallus gallus	Keratin, type I cytoskeletal 19	2:Experimental evidence at transcript level	1.65	1	0.999	0	1	0	0	1	0	0	2298779.8	0	0	NA	NA	tr|A0A8V1A8T0|A0A8V1A8T0_CHICK
sp|P00337|LDHB_CHICK	P00337	LDHB_CHICK	LDHB	333	FALSE	FALSE	Gallus gallus	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	6.01	1	0.999	0	1	1	1	2	2	2	10355391	10355391	10355391	13C(57.0215),13C(57.0215)	NA	NA
sp|P00565|KCRM_CHICK	P00565	KCRM_CHICK	CKM	381	FALSE	FALSE	Gallus gallus	Creatine kinase M-type	1:Experimental evidence at protein level	6.82	1	0.999	0	2	2	2	2	2	2	0	0	0	NA	NA	NA
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	62.42	1	0.999	0	91	8	89	588	32	577	49978663000	6882702	49978663000	10M(15.9949),10M(15.9949),10M(15.9949),25P(15.9949),27P(15.9949),10M(15.9949),25P(15.9949),40P(15.9949),10M(15.9949),33P(15.9949),40P(15.9949),10M(15.9949),34P(15.9949),40P(15.9949),10M(15.9949),40P(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),9P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),12P(15.9949),10P(15.9949),12P(15.9949),10P(15.9949),12P(15.9949),38K(15.9949),10P(15.9949),13P(15.9949),38K(15.9949),10P(15.9949),19K(15.9949),10P(15.9949),19K(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),9P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),3P(15.9949),11K(15.9949),24P(15.9949),26P(15.9949),11K(15.9949),24P(15.9949),26P(15.9949),11K(15.9949),24P(15.9949),2P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),15P(15.9949),11P(15.9949),15P(15.9949),29K(15.9949),11P(15.9949),17P(15.9949),11P(15.9949),30K(15.9949),11P(15.9949),30K(15.9949),9P(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),3P(15.9949),11P(15.9949),5P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),18K(15.9949),12K(15.9949),30P(15.9949),32P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),6M(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),13P(15.9949),16M(15.9949),12P(15.9949),14P(15.9949),12P(15.9949),14P(15.9949),27K(15.9949),12P(15.9949),14P(15.9949),27K(15.9949),12P(15.9949),15K(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),27K(15.9949),12P(15.9949),15K(15.9949),2P(15.9949),12P(15.9949),15M(15.9949),3P(15.9949),12P(15.9949),15M(15.9949),3P(15.9949),12P(15.9949),15M(15.9949),6P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),29K(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),18P(15.9949),12P(15.9949),18P(15.9949),24K(15.9949),12P(15.9949),20K(15.9949),3P(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),21P(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),24K(15.9949),9P(15.9949),12P(15.9949),24P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),9P(15.9949),12P(15.9949),26P(15.9949),29K(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),30K(15.9949),6P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),6K(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),7P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),9P(15.9949),12P(15.9949),9P(15.9949),13P(15.9949),7P(15.9949),13P(15.9949),9P(15.9949),14K(15.9949),14K(15.9949),23P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),26P(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),6P(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),15P(15.9949),24K(15.9949),14P(15.9949),15P(15.9949),24K(15.9949),14P(15.9949),18P(15.9949),14P(15.9949),18P(15.9949),24K(15.9949),14P(15.9949),20P(15.9949),30K(15.9949),14P(15.9949),21P(15.9949),30K(15.9949),14P(15.9949),23P(15.9949),14P(15.9949),24K(15.9949),14P(15.9949),24K(15.9949),5P(15.9949),14P(15.9949),24K(15.9949),5P(15.9949),14P(15.9949),24P(15.9949),27K(15.9949),14P(15.9949),30K(15.9949),3P(15.9949),14P(15.9949),3P(15.9949),14P(15.9949),6M(15.9949),14P(15.9949),6M(15.9949),9P(15.9949),15K(15.9949),8P(15.9949),15M(15.9949),3P(15.9949),6P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),17P(15.9949),2M(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),29K(15.9949),15P(15.9949),18P(15.9949),8K(15.9949),15P(15.9949),20M(15.9949),21P(15.9949),15P(15.9949),21P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),5P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24P(15.9949),15P(15.9949),26K(15.9949),5P(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),38K(15.9949),9P(15.9949),15P(15.9949),38P(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),6M(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),8P(15.9949),15P(15.9949),8P(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),16M(15.9949),16M(15.9949),19P(15.9949),25P(15.9949),16M(15.9949),19P(15.9949),3P(15.9949),16M(15.9949),24P(15.9949),3P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),9P(15.9949),17K(15.9949),9K(15.9949),17K(15.9949),9K(15.9949),17P(15.9949),24K(15.9949),9P(15.9949),17P(15.9949),30P(15.9949),17P(15.9949),30P(15.9949),9K(15.9949),17P(15.9949),36P(15.9949),17P(15.9949),3P(15.9949),17P(15.9949),3P(15.9949),17P(15.9949),6K(15.9949),17P(15.9949),6K(15.9949),17P(15.9949),9P(15.9949),17P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),3P(15.9949),9P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),19P(15.9949),18P(15.9949),20M(15.9949),2P(15.9949),18P(15.9949),20P(15.9949),18P(15.9949),23P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24P(15.9949),30M(15.9949),18P(15.9949),26K(15.9949),9P(15.9949),18P(15.9949),26P(15.9949),2M(15.9949),18P(15.9949),27K(15.9949),3P(15.9949),18P(15.9949),27K(15.9949),6P(15.9949),18P(15.9949),2M(15.9949),18P(15.9949),30M(15.9949),6P(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6P(15.9949),8K(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),19P(15.9949),35P(15.9949),38K(15.9949),19P(15.9949),37P(15.9949),20K(15.9949),3P(15.9949),20K(15.9949),3P(15.9949),20K(15.9949),3P(15.9949),5P(15.9949),20M(15.9949),6P(15.9949),9P(15.9949),20M(15.9949),6P(15.9949),9P(15.9949),20P(15.9949),24P(15.9949),20P(15.9949),26K(15.9949),42P(15.9949),20P(15.9949),30K(15.9949),3P(15.9949),20P(15.9949),30K(15.9949),9P(15.9949),20P(15.9949),6K(15.9949),9P(15.9949),20P(15.9949),8P(15.9949),21P(15.9949),21P(15.9949),24K(15.9949),3P(15.9949),21P(15.9949),24P(15.9949),30K(15.9949),21P(15.9949),24P(15.9949),30M(15.9949),21P(15.9949),27P(15.9949),30K(15.9949),21P(15.9949),30K(15.9949),3P(15.9949),21P(15.9949),3P(15.9949),9K(15.9949),23P(15.9949),23P(15.9949),24P(15.9949),24K(15.9949),24K(15.9949),36P(15.9949),41P(15.9949),24K(15.9949),3P(15.9949),24K(15.9949),3P(15.9949),24P(15.9949),24P(15.9949),30M(15.9949),24P(15.9949),30M(15.9949),3P(15.9949),24P(15.9949),30P(15.9949),6M(15.9949),24P(15.9949),33M(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),6P(15.9949),24P(15.9949),9P(15.9949),24P(15.9949),9P(15.9949),25P(15.9949),25P(15.9949),36K(15.9949),6P(15.9949),26P(15.9949),2M(15.9949),3K(15.9949),26P(15.9949),33K(15.9949),6P(15.9949),26P(15.9949),8P(15.9949),27K(15.9949),3P(15.9949),6P(15.9949),29P(15.9949),29P(15.9949),33P(15.9949),29P(15.9949),3P(15.9949),29P(15.9949),9P(15.9949),2P(15.9949),2P(15.9949),39K(15.9949),9P(15.9949),2P(15.9949),3P(15.9949),6M(15.9949),2P(15.9949),5P(15.9949),2P(15.9949),6M(15.9949),8P(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),8P(15.9949),2P(15.9949),8P(15.9949),2P(15.9949),8P(15.9949),2P(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),30K(15.9949),9P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),9P(15.9949),30M(15.9949),6P(15.9949),30M(15.9949),6P(15.9949),9P(15.9949),30M(15.9949),6P(15.9949),9P(15.9949),30P(15.9949),32P(15.9949),30P(15.9949),9K(15.9949),35P(15.9949),38K(15.9949),38P(15.9949),9P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),6M(15.9949),3P(15.9949),6M(15.9949),9P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),8P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),40P(15.9949),42P(15.9949),9P(15.9949),44P(15.9949),45K(15.9949),8P(15.9949),5P(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),6P(15.9949),5P(15.9949),9P(15.9949),6K(15.9949),6M(15.9949),6M(15.9949),6M(15.9949),6M(15.9949),9P(15.9949),6M(15.9949),9P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9P(15.9949),7P(15.9949),7P(15.9949),8K(15.9949),8P(15.9949),8P(15.9949),8P(15.9949),9P(15.9949),9K(15.9949),9K(15.9949),9K(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	35.51	1	0.999	0	20	18	20	59	48	59	10241158100	70110824	10241158100	12P(15.9949),12P(15.9949),12P(15.9949),13P(15.9949),6M(15.9949),12P(15.9949),14K(15.9949),3P(15.9949),12P(15.9949),14P(15.9949),30K(15.9949),12P(15.9949),23P(15.9949),12P(15.9949),25K(15.9949),6P(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),30K(15.9949),9P(15.9949),12P(15.9949),39P(15.9949),12P(15.9949),6P(15.9949),13M(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14P(15.9949),23P(15.9949),14P(15.9949),24K(15.9949),15P(15.9949),15P(15.9949),20M(15.9949),21P(15.9949),15P(15.9949),21P(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),8P(15.9949),15P(15.9949),38P(15.9949),44M(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),6P(15.9949),16K(15.9949),24P(15.9949),31P(15.9949),16K(15.9949),31P(15.9949),4P(15.9949),17K(15.9949),6P(15.9949),9P(15.9949),17M(15.9949),23P(15.9949),24P(15.9949),18P(15.9949),24P(15.9949),20M(15.9949),21P(15.9949),20P(15.9949),21P(15.9949),24K(15.9949),21P(15.9949),24K(15.9949),23P(15.9949),24K(15.9949),24K(15.9949),26P(15.9949),33P(15.9949),27P(15.9949),32M(15.9949),3P(15.9949),2P(15.9949),3P(15.9949),31P(15.9949),32P(15.9949),33P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),8P(15.9949)	NA	NA
sp|P04268|TPM1_CHICK	P04268	TPM1_CHICK	TPM1	284	FALSE	FALSE	Gallus gallus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	10.92	1	0.9986	0	5	0	0	9	0	0	35614336	0	0	NA	NA	NA
sp|P05094|ACTN1_CHICK	P05094	ACTN1_CHICK	ACTN1	893	FALSE	FALSE	Gallus gallus	Alpha-actinin-1	1:Experimental evidence at protein level	1.34	1	0.999	0	1	0	0	1	0	0	237437.5	0	0	NA	NA	tr|A0A1D5P9P3|A0A1D5P9P3_CHICK, tr|A0A8V0ZKK8|A0A8V0ZKK8_CHICK
sp|P07583|LEG4_CHICK	P07583	LEG4_CHICK	CG-1B	135	FALSE	FALSE	Gallus gallus	Beta-galactoside-binding lectin	1:Experimental evidence at protein level	12.59	1	0.999	0	1	1	1	1	1	1	0	0	0	N-term(42.0106),2C(57.0215),7C(57.0215)	NA	NA
sp|P07898|PGCA_CHICK	P07898	PGCA_CHICK	ACAN	2109	FALSE	FALSE	Gallus gallus	Aggrecan core protein	1:Experimental evidence at protein level	0.62	1	0.9989	0	1	0	1	1	0	1	3029192.8	0	3029192.8	NA	NA	tr|A0A8V0ZJN1|A0A8V0ZJN1_CHICK
