Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O93510|GELS_CHICK	O93510	GELS_CHICK	GSN	778	FALSE	FALSE	Gallus gallus	Gelsolin	2:Experimental evidence at transcript level	5.01	1	0.999	0	3	0	3	3	0	3	4208785.5	0	4208785.5	NA	NA	tr|A0A8V1A570|A0A8V1A570_CHICK, tr|A0A8V1AA30|A0A8V1AA30_CHICK, tr|A0A8V1ACT8|A0A8V1ACT8_CHICK, tr|A0A8V1ACU4|A0A8V1ACU4_CHICK, tr|A0A8V1AHE5|A0A8V1AHE5_CHICK
sp|P00356|G3P_CHICK	P00356	G3P_CHICK	GAPDH	333	FALSE	FALSE	Gallus gallus	Glyceraldehyde-3-phosphate dehydrogenase	2:Experimental evidence at transcript level	8.41	1	0.999	0	2	1	2	3	2	3	4084460.5	3102514.5	4084460.5	13C(57.0215),13C(57.0215)	NA	NA
sp|P00565|KCRM_CHICK	P00565	KCRM_CHICK	CKM	381	FALSE	FALSE	Gallus gallus	Creatine kinase M-type	1:Experimental evidence at protein level	27.03	1	0.999	0	9	9	9	13	13	13	30151734	30151734	30151734	NA	NA	NA
sp|P00940|TPIS_CHICK	P00940	TPIS_CHICK	TPI1	248	FALSE	FALSE	Gallus gallus	Triosephosphate isomerase	1:Experimental evidence at protein level	6.05	1	0.999	0	1	1	1	1	1	1	3034083.5	3034083.5	3034083.5	NA	NA	NA
sp|P02001|HBAD_CHICK	P02001	HBAD_CHICK	HBAD	141	FALSE	FALSE	Gallus gallus	Hemoglobin subunit alpha-D	1:Experimental evidence at protein level	11.35	1	0.999	0	1	0	1	1	0	1	1192875.4	0	1192875.4	NA	NA	tr|A0A8V0Z399|A0A8V0Z399_CHICK
sp|P02112|HBB_CHICK	P02112	HBB_CHICK	HBB	147	FALSE	FALSE	Gallus gallus	Hemoglobin subunit beta	1:Experimental evidence at protein level	19.73	1	0.999	0	3	0	3	3	0	3	8285373.5	0	8285373.5	NA	NA	NA
sp|P02263|H2A4_CHICK	P02263	H2A4_CHICK	NA	129	FALSE	FALSE	Gallus gallus	Histone H2A-IV	1:Experimental evidence at protein level	6.98	1	0.999	0	1	0	1	1	0	1	4920093	0	4920093	NA	NA	sp|P35062|H2A3_CHICK, sp|P70082|H2AJ_CHICK, tr|A0A8V0Y8M9|A0A8V0Y8M9_CHICK, tr|A0A8V0YEW2|A0A8V0YEW2_CHICK, tr|A0A8V0YH12|A0A8V0YH12_CHICK, tr|A0A8V0YH91|A0A8V0YH91_CHICK, tr|A0A8V0YLZ9|A0A8V0YLZ9_CHICK
sp|P02272|H2AV_CHICK	P02272	H2AV_CHICK	H2AZ2	128	FALSE	FALSE	Gallus gallus	Histone H2A.V	1:Experimental evidence at protein level	7.03	1	0.9989	0	1	0	0	1	0	0	4920093	0	0	NA	NA	sp|Q5ZMD6|H2AZ_CHICK, tr|A0A8V0XGQ4|A0A8V0XGQ4_CHICK, tr|A0A8V0Z9F2|A0A8V0Z9F2_CHICK
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	64.01	1	0.999	0	91	6	89	518	17	503	44225405000	10953326	44225405000	10M(15.9949),10M(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),19K(15.9949),10P(15.9949),19K(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),9P(15.9949),11K(15.9949),18P(15.9949),23P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),24P(15.9949),26P(15.9949),11M(15.9949),12K(15.9949),3P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),18K(15.9949),8P(15.9949),11P(15.9949),18P(15.9949),11P(15.9949),18P(15.9949),29K(15.9949),11P(15.9949),18P(15.9949),6K(15.9949),11P(15.9949),20P(15.9949),30K(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),26P(15.9949),11P(15.9949),30K(15.9949),11P(15.9949),30K(15.9949),9P(15.9949),11P(15.9949),36P(15.9949),45K(15.9949),11P(15.9949),5P(15.9949),11P(15.9949),5P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),12C(57.0215),12C(57.0215),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),20K(15.9949),9P(15.9949),12K(15.9949),20K(15.9949),9P(15.9949),12K(15.9949),21P(15.9949),30P(15.9949),12K(15.9949),2P(15.9949),12K(15.9949),2P(15.9949),12K(15.9949),30P(15.9949),32P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),6M(15.9949),9P(15.9949),12K(15.9949),6P(15.9949),9P(15.9949),12K(15.9949),6P(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),15K(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),24P(15.9949),12P(15.9949),15K(15.9949),27K(15.9949),12P(15.9949),15K(15.9949),2P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),16M(15.9949),12P(15.9949),15P(15.9949),29K(15.9949),12P(15.9949),16M(15.9949),24P(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),18P(15.9949),24K(15.9949),12P(15.9949),20K(15.9949),12P(15.9949),20P(15.9949),24K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),24P(15.9949),12P(15.9949),24P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),9P(15.9949),12P(15.9949),2P(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),39K(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),6K(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),6K(15.9949),12P(15.9949),6K(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),9P(15.9949),12P(15.9949),9P(15.9949),13P(15.9949),13P(15.9949),16M(15.9949),25P(15.9949),13P(15.9949),7P(15.9949),13P(15.9949),7P(15.9949),14K(15.9949),23P(15.9949),3P(15.9949),14K(15.9949),23P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),6P(15.9949),14K(15.9949),24P(15.9949),6P(15.9949),14K(15.9949),26P(15.9949),3P(15.9949),14K(15.9949),26P(15.9949),3P(15.9949),14K(15.9949),29P(15.9949),14K(15.9949),29P(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),5P(15.9949),6P(15.9949),14K(15.9949),6K(15.9949),14K(15.9949),6K(15.9949),14K(15.9949),6K(15.9949),14M(15.9949),3K(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),15K(15.9949),24P(15.9949),14P(15.9949),15P(15.9949),33K(15.9949),14P(15.9949),15P(15.9949),6M(15.9949),14P(15.9949),21P(15.9949),24K(15.9949),14P(15.9949),21P(15.9949),24K(15.9949),14P(15.9949),21P(15.9949),30K(15.9949),14P(15.9949),2P(15.9949),6M(15.9949),14P(15.9949),2P(15.9949),6M(15.9949),14P(15.9949),30K(15.9949),3P(15.9949),14P(15.9949),30K(15.9949),3P(15.9949),14P(15.9949),3P(15.9949),14P(15.9949),3P(15.9949),14P(15.9949),5P(15.9949),14P(15.9949),5P(15.9949),14P(15.9949),6P(15.9949),15K(15.9949),8P(15.9949),15K(15.9949),8P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),2M(15.9949),15P(15.9949),18P(15.9949),8K(15.9949),15P(15.9949),21P(15.9949),2M(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24P(15.9949),15P(15.9949),26K(15.9949),5P(15.9949),15P(15.9949),27P(15.9949),36K(15.9949),15P(15.9949),2P(15.9949),15P(15.9949),2P(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),2P(15.9949),6M(15.9949),15P(15.9949),36P(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),6M(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6P(15.9949),15P(15.9949),6P(15.9949),9K(15.9949),15P(15.9949),6P(15.9949),9K(15.9949),15P(15.9949),6P(15.9949),9K(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),15P(15.9949),9P(15.9949),16M(15.9949),18P(15.9949),16M(15.9949),19P(15.9949),25P(15.9949),16M(15.9949),19P(15.9949),3P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),21K(15.9949),3P(15.9949),17K(15.9949),9K(15.9949),17K(15.9949),9K(15.9949),17K(15.9949),9K(15.9949),17P(15.9949),18P(15.9949),24K(15.9949),17P(15.9949),24K(15.9949),9P(15.9949),17P(15.9949),41P(15.9949),17P(15.9949),6K(15.9949),9P(15.9949),18K(15.9949),18K(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),6P(15.9949),18K(15.9949),6P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),21P(15.9949),18P(15.9949),21P(15.9949),2M(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24P(15.9949),30M(15.9949),18P(15.9949),27K(15.9949),3P(15.9949),18P(15.9949),27K(15.9949),8P(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),19K(15.9949),19P(15.9949),20K(15.9949),20M(15.9949),6P(15.9949),9P(15.9949),20P(15.9949),24P(15.9949),30K(15.9949),20P(15.9949),26K(15.9949),9P(15.9949),20P(15.9949),27P(15.9949),30K(15.9949),20P(15.9949),30K(15.9949),20P(15.9949),30K(15.9949),3P(15.9949),20P(15.9949),30K(15.9949),3P(15.9949),20P(15.9949),6K(15.9949),9P(15.9949),21P(15.9949),24K(15.9949),21P(15.9949),24K(15.9949),3P(15.9949),21P(15.9949),24K(15.9949),9P(15.9949),21P(15.9949),24P(15.9949),30K(15.9949),21P(15.9949),24P(15.9949),30K(15.9949),21P(15.9949),24P(15.9949),30M(15.9949),21P(15.9949),27K(15.9949),2P(15.9949),21P(15.9949),27P(15.9949),30K(15.9949),21P(15.9949),2M(15.9949),3K(15.9949),21P(15.9949),2M(15.9949),3K(15.9949),21P(15.9949),30K(15.9949),23P(15.9949),6P(15.9949),23P(15.9949),8P(15.9949),23P(15.9949),9P(15.9949),24P(15.9949),24P(15.9949),24P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),5P(15.9949),24P(15.9949),8P(15.9949),25P(15.9949),26K(15.9949),26K(15.9949),26P(15.9949),5P(15.9949),26P(15.9949),8P(15.9949),27K(15.9949),3P(15.9949),6P(15.9949),27P(15.9949),30K(15.9949),3P(15.9949),27P(15.9949),36K(15.9949),5P(15.9949),2P(15.9949),2P(15.9949),33K(15.9949),2P(15.9949),3P(15.9949),2P(15.9949),5P(15.9949),2P(15.9949),5P(15.9949),2P(15.9949),5P(15.9949),6M(15.9949),2P(15.9949),5P(15.9949),6M(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),2P(15.9949),9P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30P(15.9949),32P(15.9949),30P(15.9949),9K(15.9949),32P(15.9949),6P(15.9949),35P(15.9949),45K(15.9949),36P(15.9949),45K(15.9949),36P(15.9949),45K(15.9949),8P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),6M(15.9949),3P(15.9949),6M(15.9949),9P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),5P(15.9949),5P(15.9949),9P(15.9949),5P(15.9949),9P(15.9949),6M(15.9949),9P(15.9949),6M(15.9949),9P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9P(15.9949),7P(15.9949),7P(15.9949),8K(15.9949),8K(15.9949),8P(15.9949),8P(15.9949),8P(15.9949),9P(15.9949),9K(15.9949),9K(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	19.44	1	0.999	0	10	8	10	31	16	31	8864565200	41625304	8864565200	12P(15.9949),13P(15.9949),16K(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),9P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14P(15.9949),15P(15.9949),14P(15.9949),21P(15.9949),14P(15.9949),21P(15.9949),14P(15.9949),24K(15.9949),8P(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),17K(15.9949),6P(15.9949),9P(15.9949),3P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),8P(15.9949),6P(15.9949),6P(15.9949)	NA	NA
