Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P02457|CO1A1_CHICK	P02457	CO1A1_CHICK	COL1A1	1453	FALSE	FALSE	Gallus gallus	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	61.25	1	0.999	0	79	6	78	451	27	441	16347095000	5108386	16347095000	10M(15.9949),10M(15.9949),10M(15.9949),7P(15.9949),10M(15.9949),7P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),10P(15.9949),13P(15.9949),10P(15.9949),18P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),19K(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),10P(15.9949),4P(15.9949),11K(15.9949),18P(15.9949),26P(15.9949),11K(15.9949),20P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11K(15.9949),23P(15.9949),24P(15.9949),11M(15.9949),3P(15.9949),9P(15.9949),11P(15.9949),11P(15.9949),11P(15.9949),12K(15.9949),11P(15.9949),12P(15.9949),11P(15.9949),15P(15.9949),11P(15.9949),15P(15.9949),11P(15.9949),18P(15.9949),11P(15.9949),18P(15.9949),6K(15.9949),11P(15.9949),21P(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),21P(15.9949),30K(15.9949),11P(15.9949),30K(15.9949),11P(15.9949),30K(15.9949),3P(15.9949),11P(15.9949),5P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),8P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),11P(15.9949),9P(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),14P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),15P(15.9949),3P(15.9949),12K(15.9949),30P(15.9949),32P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),3P(15.9949),12K(15.9949),6M(15.9949),9P(15.9949),12K(15.9949),6P(15.9949),9P(15.9949),12K(15.9949),9P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),12P(15.9949),15K(15.9949),12P(15.9949),15K(15.9949),2P(15.9949),12P(15.9949),15M(15.9949),12P(15.9949),15M(15.9949),6P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),12P(15.9949),15P(15.9949),29K(15.9949),12P(15.9949),16P(15.9949),12P(15.9949),18P(15.9949),29K(15.9949),12P(15.9949),20P(15.9949),24K(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),21P(15.9949),30K(15.9949),12P(15.9949),24P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),8P(15.9949),12P(15.9949),26K(15.9949),9P(15.9949),12P(15.9949),27P(15.9949),30K(15.9949),12P(15.9949),30K(15.9949),3P(15.9949),12P(15.9949),38K(15.9949),9P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),3P(15.9949),12P(15.9949),5P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),12P(15.9949),7P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),8P(15.9949),12P(15.9949),9P(15.9949),13P(15.9949),3P(15.9949),13P(15.9949),7P(15.9949),13P(15.9949),9P(15.9949),14K(15.9949),14K(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),3P(15.9949),14K(15.9949),24P(15.9949),6P(15.9949),14K(15.9949),26P(15.9949),14K(15.9949),26P(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),5P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),14P(15.9949),15K(15.9949),24P(15.9949),14P(15.9949),15P(15.9949),24K(15.9949),14P(15.9949),18P(15.9949),14P(15.9949),21P(15.9949),14P(15.9949),21P(15.9949),24K(15.9949),14P(15.9949),24K(15.9949),6P(15.9949),14P(15.9949),24K(15.9949),6P(15.9949),14P(15.9949),24K(15.9949),8P(15.9949),14P(15.9949),2P(15.9949),6M(15.9949),14P(15.9949),33P(15.9949),36K(15.9949),14P(15.9949),3P(15.9949),15K(15.9949),8P(15.9949),15M(15.9949),6P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),15P(15.9949),16M(15.9949),18P(15.9949),15P(15.9949),17P(15.9949),26K(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18K(15.9949),9P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),15P(15.9949),18P(15.9949),2M(15.9949),15P(15.9949),18P(15.9949),8K(15.9949),15P(15.9949),21P(15.9949),24K(15.9949),15P(15.9949),21P(15.9949),2M(15.9949),15P(15.9949),22K(15.9949),30P(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),5P(15.9949),15P(15.9949),24K(15.9949),5P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),26K(15.9949),36P(15.9949),15P(15.9949),26K(15.9949),41P(15.9949),15P(15.9949),26K(15.9949),9P(15.9949),15P(15.9949),27P(15.9949),36K(15.9949),15P(15.9949),35P(15.9949),8K(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),3P(15.9949),6M(15.9949),15P(15.9949),42P(15.9949),15P(15.9949),5P(15.9949),15P(15.9949),5P(15.9949),15P(15.9949),5P(15.9949),6M(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),8P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),6M(15.9949),9P(15.9949),15P(15.9949),8P(15.9949),15P(15.9949),9P(15.9949),16M(15.9949),16M(15.9949),18P(15.9949),19P(15.9949),16M(15.9949),18P(15.9949),25P(15.9949),16M(15.9949),19P(15.9949),16M(15.9949),19P(15.9949),25P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),16P(15.9949),21K(15.9949),3P(15.9949),16P(15.9949),9P(15.9949),17P(15.9949),26K(15.9949),9P(15.9949),17P(15.9949),30M(15.9949),5P(15.9949),17P(15.9949),6K(15.9949),17P(15.9949),6K(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),8P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),24P(15.9949),9P(15.9949),18K(15.9949),5P(15.9949),9P(15.9949),18K(15.9949),8P(15.9949),9P(15.9949),18P(15.9949),18P(15.9949),18P(15.9949),24K(15.9949),5P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24K(15.9949),9P(15.9949),18P(15.9949),24P(15.9949),30M(15.9949),18P(15.9949),27K(15.9949),3P(15.9949),18P(15.9949),2M(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),6K(15.9949),9P(15.9949),18P(15.9949),8P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),18P(15.9949),9P(15.9949),19P(15.9949),20P(15.9949),21P(15.9949),30K(15.9949),20P(15.9949),23P(15.9949),20P(15.9949),26K(15.9949),42P(15.9949),20P(15.9949),30K(15.9949),20P(15.9949),8P(15.9949),20P(15.9949),9P(15.9949),21P(15.9949),21P(15.9949),24K(15.9949),21P(15.9949),24K(15.9949),21P(15.9949),24P(15.9949),30K(15.9949),21P(15.9949),24P(15.9949),30M(15.9949),21P(15.9949),2M(15.9949),3K(15.9949),21P(15.9949),30K(15.9949),21P(15.9949),30K(15.9949),21P(15.9949),32P(15.9949),23P(15.9949),23P(15.9949),24P(15.9949),23P(15.9949),27P(15.9949),36K(15.9949),24P(15.9949),24P(15.9949),24P(15.9949),26P(15.9949),24P(15.9949),30K(15.9949),24P(15.9949),30K(15.9949),24P(15.9949),30M(15.9949),3P(15.9949),24P(15.9949),30M(15.9949),3P(15.9949),24P(15.9949),30M(15.9949),5P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),3P(15.9949),24P(15.9949),6P(15.9949),24P(15.9949),8P(15.9949),24P(15.9949),9P(15.9949),24P(15.9949),9P(15.9949),25P(15.9949),25P(15.9949),40P(15.9949),26K(15.9949),42P(15.9949),9P(15.9949),26P(15.9949),26P(15.9949),26P(15.9949),35P(15.9949),45K(15.9949),26P(15.9949),8P(15.9949),27K(15.9949),5P(15.9949),6P(15.9949),29P(15.9949),30M(15.9949),3P(15.9949),2M(15.9949),2M(15.9949),3K(15.9949),2P(15.9949),2P(15.9949),3P(15.9949),2P(15.9949),3P(15.9949),2P(15.9949),3P(15.9949),2P(15.9949),5P(15.9949),6M(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),2P(15.9949),6M(15.9949),9P(15.9949),30M(15.9949),3P(15.9949),6P(15.9949),30M(15.9949),3P(15.9949),9P(15.9949),30M(15.9949),5P(15.9949),6P(15.9949),30P(15.9949),32P(15.9949),30P(15.9949),33K(15.9949),30P(15.9949),33M(15.9949),9K(15.9949),32P(15.9949),3P(15.9949),36P(15.9949),8K(15.9949),9P(15.9949),38P(15.9949),8K(15.9949),9P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),6M(15.9949),3P(15.9949),6M(15.9949),9P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),41P(15.9949),9P(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),6M(15.9949),5P(15.9949),9P(15.9949),5P(15.9949),9P(15.9949),6M(15.9949),6M(15.9949),6M(15.9949),9P(15.9949),6M(15.9949),9P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9K(15.9949),6P(15.9949),9P(15.9949),8P(15.9949),8P(15.9949),9P(15.9949),8P(15.9949),9P(15.9949),9K(15.9949),9K(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949),9P(15.9949)	NA	NA
sp|P02460|CO2A1_CHICK	P02460	CO2A1_CHICK	COL2A1	859	FALSE	FALSE	Gallus gallus	Collagen alpha-1(II) chain (Fragment)	2:Experimental evidence at transcript level	24.68	1	0.999	0	12	11	12	40	30	40	3366691330	26830808	3366691330	10P(15.9949),13P(15.9949),21K(15.9949),11P(15.9949),12P(15.9949),12P(15.9949),17P(15.9949),24K(15.9949),12P(15.9949),20P(15.9949),30K(15.9949),12P(15.9949),30K(15.9949),9P(15.9949),12P(15.9949),30K(15.9949),9P(15.9949),14K(15.9949),3P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),6P(15.9949),14K(15.9949),3P(15.9949),8P(15.9949),14P(15.9949),20M(15.9949),21P(15.9949),14P(15.9949),21P(15.9949),14P(15.9949),24K(15.9949),14P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),15P(15.9949),24K(15.9949),3P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),24K(15.9949),6P(15.9949),15P(15.9949),3P(15.9949),15P(15.9949),8P(15.9949),20P(15.9949),30K(15.9949),3P(15.9949),21P(15.9949),30K(15.9949),9P(15.9949),24K(15.9949),24K(15.9949),32P(15.9949),39P(15.9949),26P(15.9949),32M(15.9949),6P(15.9949),27P(15.9949),33P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),8P(15.9949),6P(15.9949),6P(15.9949)	NA	NA
sp|P04268|TPM1_CHICK	P04268	TPM1_CHICK	TPM1	284	FALSE	FALSE	Gallus gallus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	7.75	1	0.9986	0	2	0	0	3	0	0	7900166	0	0	NA	NA	NA
sp|P08250|APOA1_CHICK	P08250	APOA1_CHICK	APOA1	264	FALSE	FALSE	Gallus gallus	Apolipoprotein A-I	1:Experimental evidence at protein level	4.92	1	0.9989	0	1	0	1	1	0	1	870039.4	0	870039.4	NA	NA	NA
sp|P09654|VIME_CHICK	P09654	VIME_CHICK	VIM	460	FALSE	FALSE	Gallus gallus	Vimentin	3:Protein inferred from homology	14.57	1	0.9967	6.2853551226e-4	5	0	0	7	0	0	17590124	0	0	NA	NA	NA
sp|P12105|CO3A1_CHICK	P12105	CO3A1_CHICK	COL3A1	1262	FALSE	FALSE	Gallus gallus	Collagen alpha-1(III) chain (Fragment)	2:Experimental evidence at transcript level	23.3	1	0.999	0	20	1	20	34	1	34	2005924860	3297814.5	2005924860	10P(15.9949),4P(15.9949),11K(15.9949),18P(15.9949),24P(15.9949),11K(15.9949),2P(15.9949),3P(15.9949),11K(15.9949),3P(15.9949),5P(15.9949),11M(15.9949),6P(15.9949),9P(15.9949),11P(15.9949),18K(15.9949),27P(15.9949),11P(15.9949),18P(15.9949),27K(15.9949),12K(15.9949),3P(15.9949),9P(15.9949),12K(15.9949),6P(15.9949),12P(15.9949),21K(15.9949),8P(15.9949),12P(15.9949),24K(15.9949),6P(15.9949),12P(15.9949),6P(15.9949),15K(15.9949),3P(15.9949),6P(15.9949),15P(15.9949),26K(15.9949),15P(15.9949),6P(15.9949),16M(15.9949),22K(15.9949),16M(15.9949),22K(15.9949),6P(15.9949),18K(15.9949),27P(15.9949),9P(15.9949),18K(15.9949),5P(15.9949),9P(15.9949),22K(15.9949),6P(15.9949),9P(15.9949),27P(15.9949),9P(15.9949),2P(15.9949),5P(15.9949),2P(15.9949),5P(15.9949),3P(15.9949),5P(15.9949),3P(15.9949),6P(15.9949),3P(15.9949),8P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),3P(15.9949),9P(15.9949),4P(15.9949),6P(15.9949),6P(15.9949),9P(15.9949),6P(15.9949),9P(15.9949)	NA	NA
sp|P13648|LMNA_CHICK	P13648	LMNA_CHICK	LMNA	657	FALSE	FALSE	Gallus gallus	Lamin-A	2:Experimental evidence at transcript level	1.98	1	0.999	0	1	1	1	1	1	1	3256624.5	3256624.5	3256624.5	NA	NA	NA
sp|P15988|CO6A2_CHICK	P15988	CO6A2_CHICK	COL6A2	1022	FALSE	FALSE	Gallus gallus	Collagen alpha-2(VI) chain	2:Experimental evidence at transcript level	5.09	1	0.999	0	4	0	4	6	0	6	40020504	0	40020504	3P(15.9949),8P(15.9949),3P(15.9949),8P(15.9949),9P(15.9949)	NA	tr|A0A8V0YP01|A0A8V0YP01_CHICK, tr|A0A8V0YQN9|A0A8V0YQN9_CHICK
sp|P16527|MARCS_CHICK	P16527	MARCS_CHICK	MARCKS	281	FALSE	FALSE	Gallus gallus	Myristoylated alanine-rich C-kinase substrate	1:Experimental evidence at protein level	2.49	1	0.999	0	1	0	1	1	0	1	0	0	0	NA	NA	NA
sp|P17785|ANXA2_CHICK	P17785	ANXA2_CHICK	ANXA2	339	FALSE	FALSE	Gallus gallus	Annexin A2	1:Experimental evidence at protein level	2.65	1	0.999	0	1	0	1	1	0	1	2144781.8	0	2144781.8	N-term(42.0106)	NA	tr|A0A8V0ZZB2|A0A8V0ZZB2_CHICK
