Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|F1NLH9|ITPA_CHICK	F1NLH9	ITPA_CHICK	ITPA	201	FALSE	FALSE	Gallus gallus	Inosine triphosphate pyrophosphatase	3:Protein inferred from homology	15.42	1	0.999	0	2	0	2	2	0	2	3391313.2	0	3391313.2	NA	NA	NA
sp|O13268|PSA7_CHICK	O13268	PSA7_CHICK	PSMA7	249	FALSE	FALSE	Gallus gallus	Proteasome subunit alpha type-7	2:Experimental evidence at transcript level	13.65	1	0.999	0	2	0	2	2	0	2	1053892.2	0	1053892.2	NA	NA	tr|A0A1D5PJW4|A0A1D5PJW4_CHICK
sp|O57391|ENOG_CHICK	O57391	ENOG_CHICK	ENO2	434	FALSE	FALSE	Gallus gallus	Gamma-enolase	2:Experimental evidence at transcript level	32.95	1	0.999	0	14	0	10	22	0	16	221772992	0	200032640	14C(57.0215),15K(15.9949),14P(15.9949),16P(15.9949),5M(15.9949)	NA	NA
sp|O57535|NDK_CHICK	O57535	NDK_CHICK	NA	153	FALSE	FALSE	Gallus gallus	Nucleoside diphosphate kinase	2:Experimental evidence at transcript level	75.16	1	0.999	0	10	0	10	19	0	19	82468080	0	82468080	2C(57.0215),2M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949),4C(57.0215),7K(15.9949),8P(15.9949)	NA	NA
sp|O73885|HSP7C_CHICK	O73885	HSP7C_CHICK	HSPA8	646	FALSE	FALSE	Gallus gallus	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	23.68	1	0.999	0	13	0	7	13	0	7	14952994	0	5930817.5	NA	NA	NA
sp|O73930|PHS_CHICK	O73930	PHS_CHICK	PCBD1	104	FALSE	FALSE	Gallus gallus	Pterin-4-alpha-carbinolamine dehydratase	2:Experimental evidence at transcript level	36.54	1	0.9984	0	4	0	4	4	0	4	5630564	0	5630564	NA	NA	tr|A0A8V0ZCW6|A0A8V0ZCW6_CHICK, tr|A0A8V0ZDX6|A0A8V0ZDX6_CHICK
sp|O93256|K1C19_CHICK	O93256	K1C19_CHICK	KRT19	423	FALSE	FALSE	Gallus gallus	Keratin, type I cytoskeletal 19	2:Experimental evidence at transcript level	11.82	1	0.999	0	7	0	5	11	0	8	275958048	0	49151104	1M(15.9949),1M(15.9949),3M(15.9949)	NA	tr|A0A8V1A8T0|A0A8V1A8T0_CHICK
sp|O93277|WDR1_CHICK	O93277	WDR1_CHICK	WDR1	609	FALSE	FALSE	Gallus gallus	WD repeat-containing protein 1	2:Experimental evidence at transcript level	17.73	1	0.9989	0	6	0	6	6	0	6	2859955	0	2859955	12C(57.0215)	NA	tr|A0A8V0Y2H8|A0A8V0Y2H8_CHICK, tr|A0A8V0Y2I4|A0A8V0Y2I4_CHICK
sp|O93327|H2AY_CHICK	O93327	H2AY_CHICK	MACROH2A1	369	FALSE	FALSE	Gallus gallus	Core histone macro-H2A.1	1:Experimental evidence at protein level	5.96	1	0.9985	0	1	0	1	1	0	1	0	0	0	NA	NA	tr|A0A8V0YQ49|A0A8V0YQ49_CHICK, tr|A0A8V0YWJ8|A0A8V0YWJ8_CHICK, tr|A0A8V0YYG7|A0A8V0YYG7_CHICK, tr|A0A8V0Z3G7|A0A8V0Z3G7_CHICK, tr|O93325|O93325_CHICK
sp|O93510|GELS_CHICK	O93510	GELS_CHICK	GSN	778	FALSE	FALSE	Gallus gallus	Gelsolin	2:Experimental evidence at transcript level	54.63	1	0.999	0	25	0	25	34	0	34	61498996	0	61498996	10M(15.9949),29C(57.0215),3K(15.9949),4C(57.0215)	NA	tr|A0A8V1A570|A0A8V1A570_CHICK, tr|A0A8V1AA30|A0A8V1AA30_CHICK, tr|A0A8V1ACT8|A0A8V1ACT8_CHICK, tr|A0A8V1ACU4|A0A8V1ACU4_CHICK, tr|A0A8V1AHE5|A0A8V1AHE5_CHICK
sp|P00337|LDHB_CHICK	P00337	LDHB_CHICK	LDHB	333	FALSE	FALSE	Gallus gallus	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	41.44	1	0.999	0	14	14	14	17	17	17	74028960	74028960	74028960	13C(57.0215),3C(57.0215),3C(57.0215),6C(57.0215),N-term(42.0106),4K(15.9949)	NA	NA
sp|P00356|G3P_CHICK	P00356	G3P_CHICK	GAPDH	333	FALSE	FALSE	Gallus gallus	Glyceraldehyde-3-phosphate dehydrogenase	2:Experimental evidence at transcript level	41.14	1	0.999	0	11	5	11	17	10	17	16858592	16444688	16858592	11C(57.0215),7C(57.0215),13C(57.0215),13C(57.0215),13M(15.9949),13M(15.9949),20C(57.0215),4M(15.9949)	NA	NA
sp|P00504|AATC_CHICK	P00504	AATC_CHICK	GOT1	412	FALSE	FALSE	Gallus gallus	Aspartate aminotransferase, cytoplasmic	1:Experimental evidence at protein level	63.59	1	0.999	0	25	25	25	31	31	31	52030088	52030088	52030088	11C(57.0215),16K(15.9949),20K(15.9949),21M(15.9949),27M(15.9949),33K(15.9949),4C(57.0215),N-term(42.0106)	NA	NA
sp|P00508|AATM_CHICK	P00508	AATM_CHICK	GOT2	423	FALSE	FALSE	Gallus gallus	Aspartate aminotransferase, mitochondrial	1:Experimental evidence at protein level	25.3	1	0.999	0	7	0	7	7	0	7	7434788	0	7434788	8C(57.0215)	NA	tr|F1P180|F1P180_CHICK
