Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|E1C2P3|HSP7E_CHICK	E1C2P3	HSP7E_CHICK	HSPA14	505	FALSE	FALSE	Gallus gallus	Heat shock 70 kDa protein 14	3:Protein inferred from homology	7.13	1	0.999	0	2	0	2	2	0	2	23140198	0	23140198	NA	NA	tr|A0A8V0XNV2|A0A8V0XNV2_CHICK, tr|A0A8V0XR19|A0A8V0XR19_CHICK, tr|A0A8V0XTQ8|A0A8V0XTQ8_CHICK, tr|A0A8V0XWG4|A0A8V0XWG4_CHICK
sp|E1C6F0|RU1C_CHICK	E1C6F0	RU1C_CHICK	SNRPC	159	FALSE	FALSE	Gallus gallus	U1 small nuclear ribonucleoprotein C	3:Protein inferred from homology	18.87	1	0.999	0	2	2	2	3	3	3	112314568	112314568	112314568	2M(15.9949),3C(57.0215),6C(57.0215)	NA	NA
sp|O13016|PTN1_CHICK	O13016	PTN1_CHICK	PTPN1	434	FALSE	FALSE	Gallus gallus	Tyrosine-protein phosphatase non-receptor type 1	1:Experimental evidence at protein level	8.53	1	0.9921	0.00109829763866	3	0	3	3	0	3	1583038.2	0	1583038.2	1M(15.9949)	NA	tr|A0A1I7Q402|A0A1I7Q402_CHICK, tr|A0A8V0YHN7|A0A8V0YHN7_CHICK
sp|O13268|PSA7_CHICK	O13268	PSA7_CHICK	PSMA7	249	FALSE	FALSE	Gallus gallus	Proteasome subunit alpha type-7	2:Experimental evidence at transcript level	50.6	1	0.999	0	10	0	10	14	0	14	163984160	0	163984160	10C(57.0215),3C(57.0215),10M(15.9949),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215)	NA	tr|A0A1D5PJW4|A0A1D5PJW4_CHICK
sp|O42130|TOP2A_CHICK	O42130	TOP2A_CHICK	TOP2A	1553	FALSE	FALSE	Gallus gallus	DNA topoisomerase 2-alpha	2:Experimental evidence at transcript level	0.84	1	0.9953	0.00109829763866	1	0	0	1	0	0	8055952	0	0	NA	NA	tr|A0A8V0ZQG6|A0A8V0ZQG6_CHICK, tr|A0A8V0ZR37|A0A8V0ZR37_CHICK, tr|A0A8V0ZR58|A0A8V0ZR58_CHICK, tr|A0A8V0ZW28|A0A8V0ZW28_CHICK
sp|O42131|TOP2B_CHICK	O42131	TOP2B_CHICK	TOP2B	1627	FALSE	FALSE	Gallus gallus	DNA topoisomerase 2-beta	2:Experimental evidence at transcript level	2.27	1	0.999	0	3	0	3	3	0	3	15271372	0	15271372	NA	NA	tr|A0A8V0X601|A0A8V0X601_CHICK, tr|A0A8V0XA37|A0A8V0XA37_CHICK, tr|A0A8V0XD34|A0A8V0XD34_CHICK
sp|O42254|IF2B1_CHICK	O42254	IF2B1_CHICK	IGF2BP1	576	FALSE	FALSE	Gallus gallus	Insulin-like growth factor 2 mRNA-binding protein 1	1:Experimental evidence at protein level	15.28	1	0.999	0	7	0	7	8	0	8	167680800	0	167680800	NA	NA	tr|A0A8V0ZU56|A0A8V0ZU56_CHICK
sp|O57391|ENOG_CHICK	O57391	ENOG_CHICK	ENO2	434	FALSE	FALSE	Gallus gallus	Gamma-enolase	2:Experimental evidence at transcript level	28.11	1	0.999	0	8	0	7	21	0	19	1130835970	0	1130835970	14C(57.0215),14P(15.9949),14P(15.9949),16P(15.9949),14P(15.9949),16P(15.9949),14P(15.9949),16P(15.9949),30K(15.9949),15M(15.9949),3M(15.9949)	NA	NA
sp|O57535|NDK_CHICK	O57535	NDK_CHICK	NA	153	FALSE	FALSE	Gallus gallus	Nucleoside diphosphate kinase	2:Experimental evidence at transcript level	73.86	1	0.999	0	10	0	10	23	0	23	2098531840	0	2098531840	2C(57.0215),2M(15.9949),2M(15.9949),2M(15.9949),2M(15.9949),4C(57.0215),4C(57.0215),4C(57.0215),7K(15.9949),8P(15.9949)	NA	NA
sp|O73885|HSP7C_CHICK	O73885	HSP7C_CHICK	HSPA8	646	FALSE	FALSE	Gallus gallus	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	59.44	1	0.999	0	30	2	20	65	2	42	2911741950	655598.8	2063756030	10M(15.9949),10P(15.9949),14C(57.0215),14C(57.0215),16C(57.0215),22P(15.9949),2C(57.0215),2C(57.0215),4P(15.9949),5K(15.9949),5M(15.9949),5M(15.9949),7P(15.9949)	NA	NA
sp|O93257|XRCC6_CHICK	O93257	XRCC6_CHICK	XRCC6	632	FALSE	FALSE	Gallus gallus	DNA repair protein Ku70	2:Experimental evidence at transcript level	5.85	1	0.9989	0	3	0	3	5	0	5	41024840	0	41024840	NA	NA	tr|A0A8V0Y1U0|A0A8V0Y1U0_CHICK, tr|A0A8V0YAA4|A0A8V0YAA4_CHICK
